,0
0,-14013.591097576396
1,-13950.762701096779
2,-13888.839293860174
3,-13827.7922775299
4,-13767.594368307795
5,-13708.2195303175
6,-13649.642912378897
7,-13591.840788004318
8,-13534.790498455466
9,-13478.470398707897
10,-13422.859806177376
11,-13367.938952069631
12,-13313.688935221793
13,-13260.091678310262
14,-13207.129886305976
15,-13154.78700706382
16,-13103.047193938526
17,-13051.895270324765
18,-13001.31669602408
19,-12951.297535346168
20,-12901.824426856598
21,-12852.88455468729
22,-12804.465621330406
23,-12756.555821839986
24,-12709.143819369629
25,-12662.218721977937
26,-12615.77006063688
27,-12569.787768381444
28,-12524.26216054203
29,-12479.183916003914
30,-12434.544059440934
31,-12390.333944473186
32,-12346.545237700959
33,-12303.169903569673
34,-12260.200190022699
35,-12217.62861490125
36,-12175.447953052473
37,-12133.65122410892
38,-12092.231680904371
39,-12051.18279849286
40,-12010.498263739273
41,-11970.171965451698
42,-11930.19798502703
43,-11890.570587582974
44,-11851.2842135508
45,-11812.333470704649
46,-11773.713126604349
47,-11735.41810142994
48,-11697.443461187173
49,-11659.784411264434
50,-11622.436290322377
51,-11585.394564498725
52,-11548.654821911454
53,-11512.212767444526
54,-11476.064217801157
55,-11440.205096810383
56,-11404.631430973403
57,-11369.339345236958
58,-11334.325058981636
59,-11299.584882213605
60,-11265.11521194893
61,-11230.912528780189
62,-11196.973393615652
63,-11163.294444581768
64,-11129.872394080283
65,-11096.704025991641
66,-11063.786193016937
67,-11031.115814150933
68,-10998.689872279157
69,-10966.505411892485
70,-10934.559536912864
71,-10902.849408624259
72,-10871.37224370326
73,-10840.12531234391
74,-10809.105936471859
75,-10778.311488042984
76,-10747.739387422023
77,-10717.387101836961
78,-10687.252143905116
79,-10657.332070227161
80,-10627.62448004544
81,-10598.12701396319
82,-10568.837352721464
83,-10539.753216030686
84,-10510.87236145396
85,-10482.192583339449
86,-10453.711711799206
87,-10425.427611732037
88,-10397.33818188812
89,-10369.441353973192
90,-10341.73509179022
91,-10314.217390416678
92,-10286.886275415513
93,-10259.73980207816
94,-10232.776054697864
95,-10205.99314587184
96,-10179.389215830754
97,-10152.962431794174
98,-10126.710987350652
99,-10100.6331018612
100,-10074.727019885046
101,-10048.991010626447
102,-10023.423367401658
103,-9998.022407124932
104,-9972.786469812714
105,-9947.713918105086
106,-9922.803136803665
107,-9898.052532425123
108,-9873.460532769634
109,-9849.025586503467
110,-9824.746162755162
111,-9800.620750724524
112,-9776.647859303952
113,-9752.826016711477
114,-9729.153770134984
115,-9705.629685387115
116,-9682.252346570369
117,-9659.020355751949
118,-9635.93233264791
119,-9612.98691431625
120,-9590.182754858475
121,-9567.518525129346
122,-9544.992912454432
123,-9522.604620355165
124,-9500.352368281005
125,-9478.234891348546
126,-9456.250940087199
127,-9434.399280191186
128,-9412.678692277646
